id,club_name,country,player_name,age,position,club_involved_name,club_involved_country,transfer_movement,transfer_period,year
1,Al-Hilal SFC,Saudi Arabia,Bruno Agnello,21.0,Attacking Midfield,Jabaquara-SP,Brazil,in,Summer,2007
2,Al-Hilal SFC,Saudi Arabia,Abdullah Al-Zoari,19.0,Centre-Back,Al-Nahdah FC,Saudi Arabia,in,Summer,2007
3,Al-Hilal SFC,Saudi Arabia,Mohammad Al-Nakhli,23.0,Right-Back,,,in,Summer,2007
4,Al-Hilal SFC,Saudi Arabia,Salman Al-Muwashar,18.0,Left Winger,Al-Hilal U23,Saudi Arabia,in,Summer,2007
5,Al-Hilal SFC,Saudi Arabia,Hassan Khairat,19.0,Centre-Back,Al-Hilal U23,Saudi Arabia,in,Summer,2007
6,Al-Hilal SFC,Saudi Arabia,Faisal Al-Jamaan,21.0,Centre-Forward,Al-Hilal U23,Saudi Arabia,in,Summer,2007
7,Al-Hilal SFC,Saudi Arabia,Abdulaziz Al-Dawsari,18.0,Left Midfield,Al-Hilal U23,Saudi Arabia,in,Summer,2007
8,Al-Hilal SFC,Saudi Arabia,Ahmed Al-Fraidi,19.0,Attacking Midfield,Al-Hilal U23,Saudi Arabia,in,Summer,2007
9,Al-Hilal SFC,Saudi Arabia,Ibrahima Ba,22.0,Defensive Midfield,FC Thun,Switzerland,out,Summer,2007
10,Al-Hilal SFC,Saudi Arabia,Ahmed Khaleel,36.0,Defence,Al-Tai,Saudi Arabia,out,Summer,2007
11,Al-Hilal SFC,Saudi Arabia,Faisal Al-Jamaan,22.0,Centre-Forward,Al-Fateh,Saudi Arabia,out,Summer,2007
12,Al-Hilal SFC,Saudi Arabia,Sami Al-Jaber,34.0,Centre-Forward,Retired,Retired,out,Summer,2007
13,Al-Hilal SFC,Saudi Arabia,Rodrigão,29.0,Centre-Forward,Atlético-PR,Brazil,out,Summer,2007
14,Ittihad Club,Saudi Arabia,Abdulrahman Al-Qahtani,24.0,Left Midfield,Al-Ettifaq,Saudi Arabia,in,Summer,2007
15,Ittihad Club,Saudi Arabia,Magno Alves,31.0,Centre-Forward,Gamba Osaka,Japan,in,Summer,2007
16,Ittihad Club,Saudi Arabia,Talal Al-Meshal,29.0,Centre-Forward,Al-Markhiya SC,Qatar,in,Summer,2007
17,Ittihad Club,Saudi Arabia,Robert,26.0,Centre-Forward,Real Betis,Spain,in,Summer,2007
18,Ittihad Club,Saudi Arabia,Renan Teixeira,22.0,Defensive Midfield,São Paulo,Brazil,in,Summer,2007
19,Ittihad Club,Saudi Arabia,Mohammed Salem,21.0,Centre-Back,Ittihad C. U23,Saudi Arabia,in,Summer,2007
20,Ittihad Club,Saudi Arabia,Mohamad Labib,20.0,Centre-Forward,Ittihad C. U23,Saudi Arabia,in,Summer,2007
21,Ittihad Club,Saudi Arabia,Obaid Al-Shamrani,21.0,Right-Back,Ittihad C. U23,Saudi Arabia,in,Summer,2007
22,Ittihad Club,Saudi Arabia,Abdullah Al-Waked,31.0,Central Midfield,Al-Nassr,Saudi Arabia,out,Summer,2007
23,Ittihad Club,Saudi Arabia,Reinaldo,28.0,Centre-Forward,JEF Utd. Chiba,Japan,out,Summer,2007
24,Ittihad Club,Saudi Arabia,Lima,25.0,Centre-Forward,São Caetano,San Marino,out,Summer,2007
25,Ittihad Club,Saudi Arabia,Khaled Omar Gahwji,32.0,Attacking Midfield,Jeddah FC,Saudi Arabia,out,Summer,2007
26,Ittihad Club,Saudi Arabia,Tcheco,32.0,Central Midfield,Grêmio,Brazil,out,Summer,2007
27,Ittihad Club,Saudi Arabia,Marzouq Al-Otaibi,31.0,Centre-Forward,Al-Nassr,Saudi Arabia,out,Summer,2007
28,Ittihad Club,Saudi Arabia,Khamis Al-Owairan,33.0,Defensive Midfield,Retired,Retired,out,Summer,2007
29,Ittihad Club,Saudi Arabia,Hamzah Idris,35.0,Centre-Forward,Retired,Retired,out,Summer,2007
30,Al-Ahli SFC,Saudi Arabia,Nunes,25.0,Centre-Forward,América-RN,Brazil,in,Summer,2007
31,Al-Ahli SFC,Saudi Arabia,Turki Al-Thagafi,28.0,Attacking Midfield,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2007
32,Al-Ahli SFC,Saudi Arabia,Mansour Al-Harbi,19.0,Left-Back,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2007
33,Al-Ahli SFC,Saudi Arabia,Alaa Al-Rishani,19.0,Defensive Midfield,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2007
34,Al-Ahli SFC,Saudi Arabia,Taiseer Al-Jassam,22.0,Central Midfield,Al-Gharafa SC,Qatar,in,Summer,2007
35,Al-Ahli SFC,Saudi Arabia,Naif Al-Qadi,28.0,Centre-Back,Al-Rayyan SC,Qatar,in,Summer,2007
36,Al-Ahli SFC,Saudi Arabia,Saleh Al-Mohammadi,26.0,Attacking Midfield,Al-Faisaly FC,Saudi Arabia,in,Summer,2007
37,Al-Ahli SFC,Saudi Arabia,Talal Al-Meshal,29.0,Centre-Forward,Al-Nassr,Saudi Arabia,in,Summer,2007
38,Al-Ahli SFC,Saudi Arabia,Naif Al-Qadi,28.0,Centre-Back,Al-Shabab,Saudi Arabia,out,Summer,2007
39,Al-Ahli SFC,Saudi Arabia,Talal Al-Meshal,29.0,Centre-Forward,Al-Markhiya SC,Qatar,out,Summer,2007
40,Al-Ahli SFC,Saudi Arabia,Darko Anic,33.0,Central Midfield,Retired,Retired,out,Summer,2007
41,Al-Ahli SFC,Saudi Arabia,Caio,26.0,Attacking Midfield,Coritiba FC,Brazil,out,Summer,2007
42,Al-Nassr FC,Saudi Arabia,Élton,21.0,Attacking Midfield,Steaua Bucharest,Romania,in,Summer,2007
43,Al-Nassr FC,Saudi Arabia,Abdullah Al-Waked,31.0,Central Midfield,Ittihad Club,Saudi Arabia,in,Summer,2007
44,Al-Nassr FC,Saudi Arabia,Porfírio,33.0,Centre-Forward,Oriental,Finland,in,Summer,2007
45,Al-Nassr FC,Saudi Arabia,Marzouq Al-Otaibi,31.0,Centre-Forward,Ittihad Club,Saudi Arabia,in,Summer,2007
46,Al-Nassr FC,Saudi Arabia,Denílson,29.0,Left Winger,Dallas,United States,out,Summer,2007
47,Al-Nassr FC,Saudi Arabia,Abdulaziz Al-Janoubi,30.0,Centre-Back,,,out,Summer,2007
48,Al-Nassr FC,Saudi Arabia,Adrian Aliaj,30.0,Left-Back,Retired,Retired,out,Summer,2007
49,Al-Nassr FC,Saudi Arabia,Massamasso Tchangai,28.0,Centre-Back,Free Agent,Free Agent,out,Summer,2007
50,Al-Nassr FC,Saudi Arabia,Talal Al-Meshal,29.0,Centre-Forward,Al-Ahli SFC,Saudi Arabia,out,Summer,2007
51,Al-Shabab FC,Saudi Arabia,Nasser Al-Shamrani,23.0,Centre-Forward,Al-Wehda,Saudi Arabia,in,Summer,2007
52,Al-Shabab FC,Saudi Arabia,Juan Manuel Martínez,21.0,Right Winger,Vélez Sarsfield,Argentina,in,Summer,2007
53,Al-Shabab FC,Saudi Arabia,Michael Eneramo,21.0,Centre-Forward,ES Tunis,Tunisia,in,Summer,2007
54,Al-Shabab FC,Saudi Arabia,Camacho,27.0,Attacking Midfield,Al-Arabi SC,Qatar,in,Summer,2007
55,Al-Shabab FC,Saudi Arabia,Naif Al-Qadi,28.0,Centre-Back,Al-Ahli SFC,Saudi Arabia,in,Summer,2007
56,Al-Shabab FC,Saudi Arabia,Runa,23.0,Centre-Back,FC Marco,France,in,Summer,2007
57,Al-Shabab FC,Saudi Arabia,Nashat Akram,22.0,Attacking Midfield,Al-Ain FC,Saudi Arabia,out,Summer,2007
58,Al-Shabab FC,Saudi Arabia,Naif Mousa,20.0,Left-Back,Al-Hazem,Saudi Arabia,out,Summer,2007
59,Al-Shabab FC,Saudi Arabia,Godwin Attram,27.0,Centre-Forward,Al-Hazem,Saudi Arabia,out,Summer,2007
60,Al-Shabab FC,Saudi Arabia,Amir Azmi Megahed,24.0,Centre-Back,Free Agent,Free Agent,out,Summer,2007
61,Al-Ettifaq FC,Saudi Arabia,Prince Tagoe,20.0,Centre-Forward,Al-Shaab,Qatar,in,Summer,2007
62,Al-Ettifaq FC,Saudi Arabia,Abdulrahman Al-Qahtani,24.0,Left Midfield,Ittihad Club,Saudi Arabia,out,Summer,2007
63,Al-Ettifaq FC,Saudi Arabia,Wajih Sghaier,28.0,Attacking Midfield,Stade Tunisien,Tunisia,out,Summer,2007
64,Al-Ettifaq FC,Saudi Arabia,Ousmane N'Doye,29.0,Defensive Midfield,Coimbra,Portugal,out,Summer,2007
65,Al-Wehda FC,Saudi Arabia,Nasser Al-Shamrani,23.0,Centre-Forward,Al-Shabab,Saudi Arabia,out,Summer,2007
66,Al-Wehda FC,Saudi Arabia,Hassan Mostafa,28.0,Defensive Midfield,El Ahly,Egypt,out,Summer,2007
67,Al-Hazem SC,Saudi Arabia,Zain Al-Abdeen,19.0,Midfield,Anderlecht U19,Belgium,in,Summer,2007
68,Al-Hazem SC,Saudi Arabia,Naif Mousa,20.0,Left-Back,Al-Shabab,Saudi Arabia,in,Summer,2007
69,Al-Hazem SC,Saudi Arabia,Godwin Attram,27.0,Centre-Forward,Al-Shabab,Saudi Arabia,in,Summer,2007
70,Al-Hazem SC,Saudi Arabia,Said Al-Shoon,23.0,Defence,Muscat Club,Saudi Arabia,in,Summer,2007
71,Al-Hazem SC,Saudi Arabia,Iranildo,30.0,Attacking Midfield,Brasiliense,Brazil,out,Summer,2007
72,Al-Hazem SC,Saudi Arabia,Toy,30.0,Centre-Forward,Olhanense,Portugal,out,Summer,2007
73,Al-Hazem SC,Saudi Arabia,Geilson,23.0,Centre-Forward,Atlético-PR,Brazil,out,Summer,2007
74,Al-Hazem SC,Saudi Arabia,Anderson Potty,27.0,Attack,,,out,Summer,2007
75,Najran SC,Saudi Arabia,Jaber Al-Aameri,21.0,Goalkeeper,Al-Faisaly FC,Saudi Arabia,in,Summer,2007
76,Najran SC,Saudi Arabia,Wilsinho,24.0,Left Winger,Caldas Novas,Brazil,in,Summer,2007
77,Najran SC,Saudi Arabia,Abdelfatha Safi,26.0,Attacking Midfield,Entente SSG,France,in,Summer,2007
78,Najran SC,Saudi Arabia,Bamba Drissa,22.0,Defensive Midfield,US Monastir,France,in,Summer,2007
79,Al-Watani,Saudi Arabia,Sylvain Idangar,23.0,Left Winger,Olympique Lyon,France,in,Summer,2007
80,Al-Watani,Saudi Arabia,Ousmane Traoré,30.0,Defence,AS Saint-Priest,France,in,Summer,2007
81,Al-Tai FC,Saudi Arabia,Ahmed Khaleel,36.0,Defence,Al-Hilal,Saudi Arabia,in,Summer,2007
82,Al-Tai FC,Saudi Arabia,Abdulla Al Marzooqi,26.0,Centre-Back,Kuwait SC,Brazil,out,Summer,2007
83,Al-Qadsiah FC,Saudi Arabia,Abdulmalek Al-Khaibri,21.0,Defensive Midfield,Al-Qadsiah U23,Saudi Arabia,in,Summer,2007
84,Al-Qadsiah FC,Saudi Arabia,Saraiva,24.0,Left Midfield,Herfölge BK,Denmark,out,Summer,2007
85,Al-Qadsiah FC,Saudi Arabia,Mohamed Madihi,28.0,Attacking Midfield,Wydad AC,Morocco,out,Summer,2007
86,Al-Qadsiah FC,Saudi Arabia,Saad Al-Shehri,27.0,Midfield,Al-Jubail,Jordan,out,Summer,2007
87,Al-Hilal SFC,Saudi Arabia,Lelo Mbele,20.0,Centre-Forward,CS Sfaxien,Tunisia,in,Winter,2007
88,Al-Hilal SFC,Saudi Arabia,Baba Adamu,28.0,Centre-Forward,Asante Kotoko,Ghana,in,Winter,2007
89,Al-Hilal SFC,Saudi Arabia,Marco Vanzini,31.0,Defensive Midfield,Juventude,Brazil,in,Winter,2007
90,Al-Hilal SFC,Saudi Arabia,Mohamed Kallon,28.0,Centre-Forward,Free Agent,Free Agent,in,Winter,2007
91,Al-Hilal SFC,Saudi Arabia,Mohamed Kallon,28.0,Centre-Forward,AEK Athens,Greece,out,Winter,2007
92,Al-Hilal SFC,Saudi Arabia,Guarú,26.0,Attacking Midfield,Barueri,Kenya,out,Winter,2007
93,Al-Hilal SFC,Saudi Arabia,Hassan Al-Otaibi,30.0,Goalkeeper,Al-Qadsiah FC,Saudi Arabia,out,Winter,2007
94,Al-Hilal SFC,Saudi Arabia,Bruno Agnello,22.0,Attacking Midfield,Boavista,Portugal,out,Winter,2007
95,Ittihad Club,Saudi Arabia,Biscotte Mbala,22.0,Centre-Forward,Yverdon Sport,Switzerland,in,Winter,2007
96,Ittihad Club,Saudi Arabia,Naif Ahmed Taib Hazazi,19.0,Centre-Forward,Ittihad C. U23,Saudi Arabia,in,Winter,2007
97,Ittihad Club,Saudi Arabia,Tcheco,31.0,Central Midfield,Grêmio,Brazil,in,Winter,2007
98,Ittihad Club,Saudi Arabia,Robert,26.0,Centre-Forward,Monterrey,Mexico,out,Winter,2007
99,Ittihad Club,Saudi Arabia,Renan Teixeira,22.0,Defensive Midfield,São Paulo,Brazil,out,Winter,2007
100,Al-Ahli SFC,Saudi Arabia,Val Baiano,26.0,Centre-Forward,SE Gama,Faroe Islands,in,Winter,2007
101,Al-Ahli SFC,Saudi Arabia,Caio,27.0,Attacking Midfield,Coritiba FC,Brazil,in,Winter,2007
102,Al-Ahli SFC,Saudi Arabia,Leandro Silva,28.0,Centre-Back,Galo Maringá,Brazil,in,Winter,2007
103,Al-Ahli SFC,Saudi Arabia,Nunes,25.0,Centre-Forward,Bragantino,Brazil,out,Winter,2007
104,Al-Ahli SFC,Saudi Arabia,Rabi Al-Mousa,23.0,Right-Back,Al-Taawoun,Saudi Arabia,out,Winter,2007
105,Al-Ahli SFC,Saudi Arabia,Khaled Badra,34.0,Centre-Back,ES Tunis,Tunisia,out,Winter,2007
106,Al-Nassr FC,Saudi Arabia,Abdelkarim Nafti,26.0,Attacking Midfield,CS Sfaxien,Tunisia,in,Winter,2007
107,Al-Shabab FC,Saudi Arabia,Michael Eneramo,22.0,Centre-Forward,ES Tunis,Tunisia,out,Winter,2007
108,Al-Shabab FC,Saudi Arabia,Runa,24.0,Centre-Back,Juv. Évora,Portugal,out,Winter,2007
109,Al-Ettifaq FC,Saudi Arabia,Radu Negut,26.0,Attacking Midfield,Forex Brasov,Romania,out,Winter,2007
110,Al-Wehda FC,Saudi Arabia,Hassan Mostafa,27.0,Defensive Midfield,El Ahly,Egypt,in,Winter,2007
111,Al-Wehda FC,Saudi Arabia,Pierre Njanka,32.0,Right-Back,Club Africain,Tunisia,in,Winter,2007
112,Al-Hazem SC,Saudi Arabia,Fábio,29.0,Centre-Forward,Volta Redonda,Brazil,in,Winter,2007
113,Al-Hazem SC,Saudi Arabia,Fábio,29.0,Centre-Forward,Volta Redonda,Brazil,out,Winter,2007
114,Al-Watani,Saudi Arabia,Yacine Hima,23.0,Central Midfield,FC Aarau,Switzerland,in,Winter,2007
115,Al-Tai FC,Saudi Arabia,Badr Al-Dakheel,22.0,Centre-Back,Al-Mojzel,Saudi Arabia,out,Winter,2007
116,Al-Qadsiah FC,Saudi Arabia,Hassan Al-Otaibi,30.0,Goalkeeper,Al-Hilal,Saudi Arabia,in,Winter,2007
117,Al-Qadsiah FC,Saudi Arabia,Talal Al-Shmaly,18.0,Right Midfield,Kuwait SC,Brazil,in,Winter,2007
118,Al-Qadsiah FC,Saudi Arabia,Walter Minhoca,25.0,Attacking Midfield,Cruzeiro,Brazil,in,Winter,2007
119,Ittihad Club,Saudi Arabia,Nourdin Boukhari,28.0,Attacking Midfield,Sparta R.,Netherlands,in,Summer,2008
120,Ittihad Club,Saudi Arabia,Emad Meteb,25.0,Centre-Forward,El Ahly,Egypt,in,Summer,2008
121,Ittihad Club,Saudi Arabia,Hicham Aboucherouane,27.0,Left Winger,ES Tunis,Tunisia,in,Summer,2008
122,Ittihad Club,Saudi Arabia,Ahmed Hadid,23.0,Attacking Midfield,Al-Shamal SC,Qatar,in,Summer,2008
123,Ittihad Club,Saudi Arabia,Abdulaziz Al-Sobyani,20.0,Midfield,,,in,Summer,2008
124,Ittihad Club,Saudi Arabia,Marzouq Al-Otaibi,32.0,Centre-Forward,Al-Nassr,Saudi Arabia,in,Summer,2008
125,Ittihad Club,Saudi Arabia,Luciano Leguizamón,26.0,Centre-Forward,Arsenal Sarandí,Argentina,in,Summer,2008
126,Ittihad Club,Saudi Arabia,Omar Khudari,17.0,Second Striker,Ittihad C. U23,Saudi Arabia,in,Summer,2008
127,Ittihad Club,Saudi Arabia,Alhassane Keita,25.0,Centre-Forward,RCD Mallorca,Spain,out,Summer,2008
128,Ittihad Club,Saudi Arabia,Abdulrahman Al-Qahtani,25.0,Left Midfield,Al-Ettifaq,Saudi Arabia,out,Summer,2008
129,Ittihad Club,Saudi Arabia,Magno Alves,32.0,Centre-Forward,Umm Salal SC,Qatar,out,Summer,2008
130,Ittihad Club,Saudi Arabia,Ahmad Al-Dokhi,31.0,Right-Back,Qatar SC,Qatar,out,Summer,2008
131,Ittihad Club,Saudi Arabia,Biscotte Mbala,23.0,Centre-Forward,Yverdon Sport,Switzerland,out,Summer,2008
132,Ittihad Club,Saudi Arabia,Emad Meteb,26.0,Centre-Forward,El Ahly,Egypt,out,Summer,2008
133,Al-Hilal SFC,Saudi Arabia,Christian Wilhelmsson,28.0,Right Winger,FC Nantes,France,in,Summer,2008
134,Al-Hilal SFC,Saudi Arabia,Ronald Raldes,27.0,Centre-Back,Rosario Central,Argentina,in,Summer,2008
135,Al-Hilal SFC,Saudi Arabia,Osama Hawsawi,24.0,Centre-Back,Al-Wehda,Saudi Arabia,in,Summer,2008
136,Al-Hilal SFC,Saudi Arabia,Hassan Al-Otaibi,30.0,Goalkeeper,Al-Qadsiah FC,Saudi Arabia,in,Summer,2008
137,Al-Hilal SFC,Saudi Arabia,Nawaf Al-Abed,18.0,Attacking Midfield,Al-Hilal U23,Saudi Arabia,in,Summer,2008
138,Al-Hilal SFC,Saudi Arabia,Salman Al-Faraj,18.0,Central Midfield,Al-Hilal U23,Saudi Arabia,in,Summer,2008
139,Al-Hilal SFC,Saudi Arabia,Sultan Al-Beshi,18.0,Right-Back,Al-Hilal U23,Saudi Arabia,in,Summer,2008
140,Al-Hilal SFC,Saudi Arabia,Bader Al-Karashi,26.0,Attack,Al-Ahli SFC,Saudi Arabia,out,Summer,2008
141,Al-Hilal SFC,Saudi Arabia,Lelo Mbele,21.0,Centre-Forward,ES Tunis,Tunisia,out,Summer,2008
142,Al-Hilal SFC,Saudi Arabia,Marcelo Tavares,27.0,Centre-Back,Al-Rayyan SC,Qatar,out,Summer,2008
143,Al-Hilal SFC,Saudi Arabia,Fahed Al-Mofarij,30.0,Centre-Back,Al-Ettifaq,Saudi Arabia,out,Summer,2008
144,Al-Hilal SFC,Saudi Arabia,Khaled Shrahili,21.0,Goalkeeper,Al-Raed,Saudi Arabia,out,Summer,2008
145,Al-Hilal SFC,Saudi Arabia,Sultan Al-Bargan,25.0,Defensive Midfield,Al-Ettifaq,Saudi Arabia,out,Summer,2008
146,Al-Hilal SFC,Saudi Arabia,Nawaf Al-Temyat,32.0,Attacking Midfield,Retired,Retired,out,Summer,2008
147,Al-Hilal SFC,Saudi Arabia,Marco Vanzini,32.0,Defensive Midfield,Retired,Retired,out,Summer,2008
148,Al-Hilal SFC,Saudi Arabia,Baba Adamu,28.0,Centre-Forward,Asante Kotoko,Ghana,out,Summer,2008
149,Al-Ahli SFC,Saudi Arabia,Hassan Al-Raheb,24.0,Second Striker,Khaleej,Saudi Arabia,in,Summer,2008
150,Al-Ahli SFC,Saudi Arabia,Harison,28.0,Right Winger,Leiria,Portugal,in,Summer,2008
151,Al-Ahli SFC,Saudi Arabia,Bader Al-Karashi,26.0,Attack,Al-Hilal,Saudi Arabia,in,Summer,2008
152,Al-Ahli SFC,Saudi Arabia,Adel Maïza,25.0,Centre-Back,ES Sétif,Algeria,in,Summer,2008
153,Al-Ahli SFC,Saudi Arabia,Karam Barnawi,21.0,Right-Back,Al-Ansar,Lebanon,in,Summer,2008
154,Al-Ahli SFC,Saudi Arabia,Josimar Mosquera,26.0,Centre-Back,Arsenal Sarandí,Argentina,in,Summer,2008
155,Al-Ahli SFC,Saudi Arabia,Abdulrahim Jaizawi,19.0,Left Winger,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2008
156,Al-Ahli SFC,Saudi Arabia,Hussain Al-Absi,20.0,Attack,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2008
157,Al-Ahli SFC,Saudi Arabia,Taiseer Al-Jassam,24.0,Central Midfield,Qatar SC,Qatar,in,Summer,2008
158,Al-Ahli SFC,Saudi Arabia,Hussein Abdulghani,31.0,Left-Back,Xamax,Switzerland,out,Summer,2008
159,Al-Ahli SFC,Saudi Arabia,Caio,27.0,Attacking Midfield,EC Bahia,France,out,Summer,2008
160,Al-Ahli SFC,Saudi Arabia,Saleh Al-Mohammadi,27.0,Attacking Midfield,Abha,Saudi Arabia,out,Summer,2008
161,Al-Ahli SFC,Saudi Arabia,Harison,28.0,Right Winger,Al-Wehda,Saudi Arabia,out,Summer,2008
162,Al-Ahli SFC,Saudi Arabia,Waleed Al-Gizani,27.0,Centre-Forward,Al-Hazem,Saudi Arabia,out,Summer,2008
163,Al-Ahli SFC,Saudi Arabia,Val Baiano,27.0,Centre-Forward,Barueri,Kenya,out,Summer,2008
164,Al-Ahli SFC,Saudi Arabia,Ali Al-Turki,19.0,Right Midfield,Najran SC,Saudi Arabia,out,Summer,2008
165,Al-Ahli SFC,Saudi Arabia,Ali Al-Abdali,29.0,Right-Back,Al-Raed,Saudi Arabia,out,Summer,2008
166,Al-Ahli SFC,Saudi Arabia,Taiseer Al-Jassam,24.0,Central Midfield,Qatar SC,Qatar,out,Summer,2008
167,Al-Ahli SFC,Saudi Arabia,Leandro Silva,28.0,Centre-Back,Galo Maringá,Brazil,out,Summer,2008
168,Al-Shabab FC,Saudi Arabia,Renato Abreu,30.0,Attacking Midfield,Al-Nasr SC,Saudi Arabia,in,Summer,2008
169,Al-Shabab FC,Saudi Arabia,Youssef Al-Salem,23.0,Centre-Forward,Al-Qadsiah FC,Saudi Arabia,in,Summer,2008
170,Al-Shabab FC,Saudi Arabia,Abdulmalek Al-Khaibri,22.0,Defensive Midfield,Al-Qadsiah FC,Saudi Arabia,in,Summer,2008
171,Al-Shabab FC,Saudi Arabia,Talal Al-Bloushi,22.0,Defensive Midfield,Al-Sadd SC,Qatar,in,Summer,2008
172,Al-Shabab FC,Saudi Arabia,Hussein Shae'an,19.0,Goalkeeper,,,in,Summer,2008
173,Al-Shabab FC,Saudi Arabia,Juan Manuel Martínez,22.0,Right Winger,Vélez Sarsfield,Argentina,out,Summer,2008
174,Al-Nassr FC,Saudi Arabia,Razak Omotoyossi,22.0,Centre-Forward,Helsingborgs IF,Sweden,in,Summer,2008
175,Al-Nassr FC,Saudi Arabia,Éder Gaúcho,30.0,Centre-Back,Leiria,Portugal,in,Summer,2008
176,Al-Nassr FC,Saudi Arabia,Bader Al-Nakhli,20.0,Centre-Back,Al-Qadsiah FC,Saudi Arabia,in,Summer,2008
177,Al-Nassr FC,Saudi Arabia,Hassan Rabia,25.0,Centre-Forward,Majees SC,France,in,Summer,2008
178,Al-Nassr FC,Saudi Arabia,Marzouq Al-Otaibi,32.0,Centre-Forward,Ittihad Club,Saudi Arabia,out,Summer,2008
179,Al-Nassr FC,Saudi Arabia,Porfírio,34.0,Centre-Forward,Retired,Retired,out,Summer,2008
180,Al-Nassr FC,Saudi Arabia,Abdelkarim Nafti,26.0,Attacking Midfield,CS Sfaxien,Tunisia,out,Summer,2008
181,Al-Nassr FC,Saudi Arabia,Issam Mardassi,27.0,Centre-Back,CS Sfaxien,Tunisia,out,Summer,2008
182,Al-Ettifaq FC,Saudi Arabia,Paulo Sérgio,27.0,Defensive Midfield,Coimbra,Portugal,in,Summer,2008
183,Al-Ettifaq FC,Saudi Arabia,Abdulrahman Al-Qahtani,25.0,Left Midfield,Ittihad Club,Saudi Arabia,in,Summer,2008
184,Al-Ettifaq FC,Saudi Arabia,Abdullah Al-Dawsari,18.0,Right-Back,,,in,Summer,2008
185,Al-Ettifaq FC,Saudi Arabia,Mohamad Roubize,22.0,Central Midfield,Difaâ El Jadida,Morocco,in,Summer,2008
186,Al-Ettifaq FC,Saudi Arabia,Mohanad Al Ibrahim,22.0,Attack,Al-Karamah SC,Qatar,in,Summer,2008
187,Al-Ettifaq FC,Saudi Arabia,Fahed Al-Mofarij,30.0,Centre-Back,Al-Hilal,Saudi Arabia,in,Summer,2008
188,Al-Ettifaq FC,Saudi Arabia,Jamaan Al-Jamaan,26.0,Centre-Back,,,in,Summer,2008
189,Al-Ettifaq FC,Saudi Arabia,Sultan Al-Bargan,25.0,Defensive Midfield,Al-Hilal,Saudi Arabia,in,Summer,2008
190,Al-Ettifaq FC,Saudi Arabia,Mohannad Ibrahim,23.0,Centre-Forward,Al-Karamah SC,Qatar,in,Summer,2008
191,Al-Ettifaq FC,Saudi Arabia,Abdullah Al-Saleh,20.0,Goalkeeper,Al-Ettifaq U23,Saudi Arabia,in,Summer,2008
192,Al-Wehda FC,Saudi Arabia,Amir Akrout,25.0,Centre-Forward,Stade Tunisien,Tunisia,in,Summer,2008
193,Al-Wehda FC,Saudi Arabia,Harison,28.0,Right Winger,Al-Ahli SFC,Saudi Arabia,in,Summer,2008
194,Al-Wehda FC,Saudi Arabia,Omar Daoud,25.0,Centre-Back,Al-Ahli SFC,Saudi Arabia,in,Summer,2008
195,Al-Wehda FC,Saudi Arabia,Osama Hawsawi,24.0,Centre-Back,Al-Hilal,Saudi Arabia,out,Summer,2008
196,Al-Wehda FC,Saudi Arabia,Pierre Njanka,33.0,Right-Back,Persija Jakarta,Indonesia,out,Summer,2008
197,Al-Wehda FC,Saudi Arabia,Harison,29.0,Right Winger,Guarani,Brazil,out,Summer,2008
198,Al-Wehda FC,Saudi Arabia,Abdullah Sulaiman Zubromawi,34.0,Centre-Back,Retired,Retired,out,Summer,2008
199,Al-Hazem SC,Saudi Arabia,Waleed Al-Gizani,27.0,Centre-Forward,Al-Ahli SFC,Saudi Arabia,in,Summer,2008
200,Al-Hazem SC,Saudi Arabia,Kodjo Afanou,30.0,Centre-Back,Free Agent,Free Agent,in,Summer,2008
201,Al-Hazem SC,Saudi Arabia,Godwin Attram,27.0,Centre-Forward,Al-Shaab,Qatar,out,Summer,2008
202,Al-Hazem SC,Saudi Arabia,Said Al-Shoon,24.0,Defence,Kazma SC,France,out,Summer,2008
203,Najran SC,Saudi Arabia,Ali Al-Turki,19.0,Right Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2008
204,Najran SC,Saudi Arabia,Abdelfattah Safi,27.0,Midfield,Entente SSG,France,in,Summer,2008
205,Najran SC,Saudi Arabia,Abdulaziz Al-Hamsal,21.0,Right Midfield,Najran SC U23,Saudi Arabia,in,Summer,2008
206,Najran SC,Saudi Arabia,Wilsinho,25.0,Left Winger,Al-Wakrah SC,Qatar,out,Summer,2008
207,Najran SC,Saudi Arabia,Bamba Drissa,23.0,Defensive Midfield,Olympique Beja,Tunisia,out,Summer,2008
208,Al-Raed SFC,Saudi Arabia,Ali Al-Abdali,29.0,Right-Back,Al-Ahli SFC,Saudi Arabia,in,Summer,2008
209,Al-Raed SFC,Saudi Arabia,Raed Al-Amri,19.0,Left-Back,Al-Watani,Qatar,in,Summer,2008
210,Al-Raed SFC,Saudi Arabia,Saleh Abdulhameed,25.0,Centre-Back,Al-Nasr SC,Saudi Arabia,in,Summer,2008
211,Al-Raed SFC,Saudi Arabia,Tarik Miri,30.0,Defence,O. Khouribga,Morocco,in,Summer,2008
212,Al-Raed SFC,Saudi Arabia,Khaled Shrahili,21.0,Goalkeeper,Al-Hilal,Saudi Arabia,in,Summer,2008
