club_name,country,player_name,age,position,club_involved_name,club_involved_country,transfer_movement,transfer_period,year,id
Al-Hilal SFC,Saudi Arabia,Khaled Aziz,18.0,Defensive Midfield,,,in,Summer,2000,1
Al-Hilal SFC,Saudi Arabia,Sami Al-Jaber,27.0,Centre-Forward,Wolves,England,out,Summer,2000,2
Al-Hilal SFC,Saudi Arabia,Fahad Al-Ghesheyan,26.0,Right Winger,Al-Nassr,Saudi Arabia,out,Summer,2000,3
Al-Hilal SFC,Saudi Arabia,Saleh Al-Salloumi,37.0,Goalkeeper,Retired,Retired,out,Summer,2000,4
Al-Hilal SFC,Saudi Arabia,Elijah Litana,29.0,Centre-Back,Retired,Retired,out,Summer,2000,5
Ittihad Club,Saudi Arabia,Marzouq Al-Otaibi,24.0,Centre-Forward,Al-Shabab,Saudi Arabia,in,Summer,2000,6
Ittihad Club,Saudi Arabia,Khalid Massad,28.0,Attacking Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2000,7
Ittihad Club,Saudi Arabia,Ivan Malimon,21.0,Centre-Forward,Edessaikos,Greece,in,Summer,2000,8
Ittihad Club,Saudi Arabia,Manaf Abushgeer,20.0,Left Midfield,Ittihad C. U23,Saudi Arabia,in,Summer,2000,9
Ittihad Club,Saudi Arabia,Darci,31.0,Left Winger,Antalyaspor,Turkey,out,Summer,2000,10
Ittihad Club,Saudi Arabia,Macros Pereira,26.0,Attack,Seongnam Ilhwa,Korea Republic,out,Summer,2000,11
Ittihad Club,Saudi Arabia,Roberto Donadoni,36.0,Right Midfield,Retired,Retired,out,Summer,2000,12
Al-Nassr FC,Saudi Arabia,Saad Al-Shehri,20.0,Midfield,Al-Ettifaq,Saudi Arabia,in,Summer,2000,13
Al-Nassr FC,Saudi Arabia,Fahad Al-Ghesheyan,26.0,Right Winger,Al-Hilal,Saudi Arabia,in,Summer,2000,14
Al-Nassr FC,Saudi Arabia,Ahmed Bahja,29.0,Centre-Forward,Al-Ahli SFC,Saudi Arabia,out,Summer,2000,15
Al-Nassr FC,Saudi Arabia,Fahad Al Bishi,34.0,Midfield,Retired,Retired,out,Summer,2000,16
Al-Nassr FC,Saudi Arabia,Milson,22.0,Centre-Forward,Botafogo,Brazil,out,Summer,2000,17
Al-Shabab FC,Saudi Arabia,Mustapha Bidoudane,24.0,Centre-Forward,FUS Rabat,Morocco,in,Summer,2000,18
Al-Shabab FC,Saudi Arabia,Redha Tukar,24.0,Centre-Back,Ohod Club,Saudi Arabia,in,Summer,2000,19
Al-Shabab FC,Saudi Arabia,Marzouq Al-Otaibi,24.0,Centre-Forward,Ittihad Club,Saudi Arabia,out,Summer,2000,20
Al-Ahli SFC,Saudi Arabia,Mohammed Husain Bahzad,20.0,Centre-Back,Al-Najma,Bahrain,in,Summer,2000,21
Al-Ahli SFC,Saudi Arabia,Naif Al-Qadi,21.0,Centre-Back,,,in,Summer,2000,22
Al-Ahli SFC,Saudi Arabia,Waleed Al-Gizani,19.0,Centre-Forward,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2000,23
Al-Ahli SFC,Saudi Arabia,Khalid Massad,28.0,Attacking Midfield,Ittihad Club,Saudi Arabia,out,Summer,2000,24
Al-Ettifaq FC,Saudi Arabia,Saad Al-Shehri,20.0,Midfield,Al-Nassr,Saudi Arabia,out,Summer,2000,25
Al-Qadsiah FC,Saudi Arabia,Saud Kariri,19.0,Defensive Midfield,,,in,Summer,2000,26
Al-Qadsiah FC,Saudi Arabia,Yasser Al-Qahtani,17.0,Centre-Forward,Al-Qadsiah U23,Saudi Arabia,in,Summer,2000,27
Al-Riyadh SC,Saudi Arabia,Moussa N'Daw,31.0,Centre-Forward,Retired,Retired,out,Summer,2000,28
Al-Wehda FC,Saudi Arabia,Hassen Ghoula,31.0,Centre-Back,CR Béni Thour,Algeria,in,Summer,2000,29
Al-Wehda FC,Saudi Arabia,Nei Bala,22.0,Centre-Forward,Al-Ain FC,Saudi Arabia,in,Summer,2000,30
Al-Wehda FC,Saudi Arabia,Tarek Hadj Adlane,34.0,Centre-Forward,USM Alger,Algeria,out,Summer,2000,31
Al-Wehda FC,Saudi Arabia,Ernest Mtawali,31.0,Defensive Midfield,Orlando Pirates,South Africa,out,Summer,2000,32
Al-Hilal SFC,Saudi Arabia,Túlio,24.0,Defensive Midfield,Goiás,Brazil,in,Winter,2000,33
Al-Hilal SFC,Saudi Arabia,Abdullah Sulaiman Zubromawi,27.0,Centre-Back,Al-Ahli SFC,Saudi Arabia,in,Winter,2000,34
Al-Hilal SFC,Saudi Arabia,Christopher Wreh,25.0,Centre-Forward,Arsenal FC,England,in,Winter,2000,35
Al-Hilal SFC,Saudi Arabia,Roni,23.0,Centre-Forward,Fluminense,Brazil,in,Winter,2000,36
Al-Hilal SFC,Saudi Arabia,Sami Al-Jaber,28.0,Centre-Forward,Wolves,England,in,Winter,2000,37
Ittihad Club,Saudi Arabia,Mabrouk Zaid,21.0,Goalkeeper,Al-Riyadh SC,Qatar,in,Winter,2000,38
Ittihad Club,Saudi Arabia,Michele Gelsi,32.0,Central Midfield,Ravenna,Italy,in,Winter,2000,39
Ittihad Club,Saudi Arabia,Marcelo Gómez,30.0,Defensive Midfield,Gimnasia,Argentina,in,Winter,2000,40
Ittihad Club,Saudi Arabia,Dalian Atkinson,32.0,Centre-Forward,Daejeon Citizen,Korea Republic,out,Winter,2000,41
Ittihad Club,Saudi Arabia,Ivan Malimon,22.0,Centre-Forward,,,out,Winter,2000,42
Ittihad Club,Saudi Arabia,Gerson,28.0,Centre-Forward,Antalyaspor,Turkey,out,Winter,2000,43
Al-Nassr FC,Saudi Arabia,Mehdi Ben Slimane,27.0,Right Winger,SC Freiburg,Germany,in,Winter,2000,44
Al-Shabab FC,Saudi Arabia,Baba Adamu,21.0,Centre-Forward,Chernomorets N.,Russia,out,Winter,2000,45
Al-Ahli SFC,Saudi Arabia,Maher Kanzari,27.0,Attacking Midfield,ES Tunis,Tunisia,in,Winter,2000,46
Al-Ahli SFC,Saudi Arabia,Abdullah Sulaiman Zubromawi,27.0,Centre-Back,Al-Hilal,Saudi Arabia,out,Winter,2000,47
Al-Ettifaq FC,Saudi Arabia,Faraj Laheeb,22.0,Centre-Forward,Kuwait SC,Brazil,out,Winter,2000,48
Al-Riyadh SC,Saudi Arabia,Mabrouk Zaid,21.0,Goalkeeper,Ittihad Club,Saudi Arabia,out,Winter,2000,49
Al-Wehda FC,Saudi Arabia,Nei Bala,22.0,Centre-Forward,Nacional-SP,Brazil,out,Winter,2000,50
Al-Hilal SFC,Saudi Arabia,Edmilson,33.0,Attack,SC Braga,Portugal,in,Summer,2001,51
Al-Hilal SFC,Saudi Arabia,Khamis Al-Owairan,27.0,Defensive Midfield,Ittihad Club,Saudi Arabia,out,Summer,2001,52
Al-Hilal SFC,Saudi Arabia,Christopher Wreh,26.0,Centre-Forward,St. Mirren,Scotland,out,Summer,2001,53
Al-Hilal SFC,Saudi Arabia,Serginho,27.0,Centre-Forward,Ittihad Club,Saudi Arabia,out,Summer,2001,54
Al-Hilal SFC,Saudi Arabia,Khalid Al-Temawi,33.0,Central Midfield,Retired,Retired,out,Summer,2001,55
Al-Hilal SFC,Saudi Arabia,Roni,24.0,Centre-Forward,Fluminense,Brazil,out,Summer,2001,56
Ittihad Club,Saudi Arabia,Dario Baccin,24.0,Right-Back,Napoli,Italy,in,Summer,2001,57
Ittihad Club,Saudi Arabia,Khamis Al-Owairan,27.0,Defensive Midfield,Al-Hilal,Saudi Arabia,in,Summer,2001,58
Ittihad Club,Saudi Arabia,Serginho,27.0,Centre-Forward,Al-Hilal,Saudi Arabia,in,Summer,2001,59
Ittihad Club,Saudi Arabia,Hamad Al Montashari,19.0,Centre-Back,Ittihad C. U23,Saudi Arabia,in,Summer,2001,60
Ittihad Club,Saudi Arabia,Osama Al Harbi,17.0,Centre-Back,Ittihad C. U23,Saudi Arabia,in,Summer,2001,61
Ittihad Club,Saudi Arabia,Dalian Atkinson,33.0,Centre-Forward,Daejeon Citizen,Korea Republic,in,Summer,2001,62
Ittihad Club,Saudi Arabia,Akwá,24.0,Centre-Forward,Al-Wakrah SC,Qatar,out,Summer,2001,63
Ittihad Club,Saudi Arabia,Mutiu Adepoju,30.0,Central Midfield,UD Salamanca,Spain,out,Summer,2001,64
Ittihad Club,Saudi Arabia,Michele Gelsi,32.0,Central Midfield,AS Livorno,Italy,out,Summer,2001,65
Ittihad Club,Saudi Arabia,Marcelo Gómez,30.0,Defensive Midfield,Huracán,Argentina,out,Summer,2001,66
Ittihad Club,Saudi Arabia,Dalian Atkinson,33.0,Centre-Forward,Daejeon Citizen,Korea Republic,out,Summer,2001,67
Al-Nassr FC,Saudi Arabia,Julio César Baldivieso,29.0,Attacking Midfield,Cobreloa,Chile,in,Summer,2001,68
Al-Nassr FC,Saudi Arabia,Fahad Al-Ghesheyan,27.0,Right Winger,,,out,Summer,2001,69
Al-Nassr FC,Saudi Arabia,Fuad Anwar Amin,28.0,Central Midfield,Retired,Retired,out,Summer,2001,70
Al-Nassr FC,Saudi Arabia,Mehdi Ben Slimane,27.0,Right Winger,SC Freiburg,Germany,out,Summer,2001,71
Al-Ahli SFC,Saudi Arabia,Saad Al-Dosari,23.0,Attacking Midfield,Al-Riyadh SC,Qatar,in,Summer,2001,72
Al-Ahli SFC,Saudi Arabia,Abdullah Al-Waked,26.0,Central Midfield,Al-Shabab,Saudi Arabia,in,Summer,2001,73
Al-Ahli SFC,Saudi Arabia,Reda Seeka,28.0,Centre-Back,Zamalek,Egypt,in,Summer,2001,74
Al-Ahli SFC,Saudi Arabia,Mahamadou Sidibé,22.0,Goalkeeper,Athinaikos,Greece,out,Summer,2001,75
Al-Ahli SFC,Saudi Arabia,Ali Dhawi,17.0,Second Striker,Najran SC,Saudi Arabia,out,Summer,2001,76
Al-Ahli SFC,Saudi Arabia,Maher Kanzari,28.0,Attacking Midfield,Al-Nasr SC,Saudi Arabia,out,Summer,2001,77
Al-Ahli SFC,Saudi Arabia,Raúl Gordillo,26.0,Central Midfield,América,Mexico,out,Summer,2001,78
Al-Shabab FC,Saudi Arabia,Mustapha Bidoudane,25.0,Centre-Forward,FUS Rabat,Morocco,out,Summer,2001,79
Al-Shabab FC,Saudi Arabia,Abdullah Al-Waked,26.0,Central Midfield,Al-Ahli SFC,Saudi Arabia,out,Summer,2001,80
Al-Shabab FC,Saudi Arabia,Saeed Al-Owairan,33.0,Centre-Forward,Retired,Retired,out,Summer,2001,81
Al-Wehda FC,Saudi Arabia,Hassen Ghoula,32.0,Centre-Back,CR Béni Thour,Algeria,out,Summer,2001,82
Al-Ettifaq FC,Saudi Arabia,Abdulrahman Al-Qahtani,18.0,Left Midfield,,,in,Summer,2001,83
Al-Riyadh SC,Saudi Arabia,Khalid Radhi,20.0,Goalkeeper,,,in,Summer,2001,84
Al-Riyadh SC,Saudi Arabia,Saad Al-Dosari,23.0,Attacking Midfield,Al-Ahli SFC,Saudi Arabia,out,Summer,2001,85
Al-Hilal SFC,Saudi Arabia,Faisal Abuthnain,31.0,Defensive Midfield,Retired,Retired,out,Winter,2001,86
Al-Nassr FC,Saudi Arabia,Amadou Fadel Keita,24.0,Centre-Forward,C. Rizespor,Spain,in,Winter,2001,87
Al-Nassr FC,Saudi Arabia,Jorge Delgado,26.0,Centre-Forward,CD Numancia,Spain,in,Winter,2001,88
Al-Ahli SFC,Saudi Arabia,Reda Seeka,29.0,Centre-Back,Zamalek,Egypt,out,Winter,2001,89
Al-Shabab FC,Saudi Arabia,Mirdzhalol Kasymov,31.0,Attacking Midfield,KS Samara,Albania,in,Winter,2001,90
Al-Ettifaq FC,Saudi Arabia,Samir Kamouna,29.0,Sweeper,Bursaspor,Turkey,in,Winter,2001,91
Al-Hilal SFC,Saudi Arabia,Sultan Al-Bargan,19.0,Defensive Midfield,Al-Hilal U23,Saudi Arabia,in,Summer,2002,92
Al-Hilal SFC,Saudi Arabia,Edmilson,34.0,Attack,Jeonbuk Hyundai,Korea Republic,out,Summer,2002,93
Al-Hilal SFC,Saudi Arabia,Andrey Kanchelskis,34.0,Right Midfield,Free Agent,Free Agent,out,Summer,2002,94
Ittihad Club,Saudi Arabia,Hamad Al-Eissa,20.0,Centre-Back,Al-Nassr,Saudi Arabia,in,Summer,2002,95
Ittihad Club,Saudi Arabia,Bebeto,38.0,Centre-Forward,Vasco da Gama,Brazil,in,Summer,2002,96
Ittihad Club,Saudi Arabia,Bebeto,38.0,Centre-Forward,Free Agent,Free Agent,out,Summer,2002,97
Ittihad Club,Saudi Arabia,Tijani Babangida,29.0,Right Winger,Ajax,Netherlands,out,Summer,2002,98
Al-Shabab FC,Saudi Arabia,Abdoh Otayf,18.0,Attacking Midfield,Al-Shabab U23,Saudi Arabia,in,Summer,2002,99
Al-Shabab FC,Saudi Arabia,Ahmed Ibrahim Otayf,19.0,Central Midfield,Al-Shabab U23,Saudi Arabia,in,Summer,2002,100
Al-Shabab FC,Saudi Arabia,Abdullah Al-Dosari,19.0,Midfield,Al-Shabab U23,Saudi Arabia,in,Summer,2002,101
Al-Ahli SFC,Saudi Arabia,Mohamed Barakat,25.0,Right Winger,Ismaily,Egypt,in,Summer,2002,102
Al-Ahli SFC,Saudi Arabia,Mamadou Diallo,31.0,Centre-Forward,MetroStars,United States,in,Summer,2002,103
Al-Ahli SFC,Saudi Arabia,Khaled Badra,29.0,Centre-Back,ES Tunis,Tunisia,in,Summer,2002,104
Al-Ahli SFC,Saudi Arabia,Obeid Al-Dosari,26.0,Centre-Forward,Retired,Retired,out,Summer,2002,105
Al-Qadsiah FC,Saudi Arabia,Ahmed Khalil Al-Khaldi,31.0,Goalkeeper,Al-Qadsiah U23,Saudi Arabia,in,Summer,2002,106
Al-Nassr FC,Saudi Arabia,Paulo Nunes,30.0,Second Striker,SE Gama,Faroe Islands,in,Summer,2002,107
Al-Nassr FC,Saudi Arabia,Amadou Fadel Keita,24.0,Centre-Forward,Africa Sports,Ivory Coast,out,Summer,2002,108
Al-Nassr FC,Saudi Arabia,Hamad Al-Eissa,20.0,Centre-Back,Ittihad Club,Saudi Arabia,out,Summer,2002,109
Al-Nassr FC,Saudi Arabia,Jorge Delgado,26.0,Centre-Forward,Montevideo Wanderers,Uruguay,out,Summer,2002,110
Al-Nassr FC,Saudi Arabia,Fahad Al-Mehallel,31.0,Centre-Forward,,,out,Summer,2002,111
Al-Nassr FC,Saudi Arabia,Ibrahim Al-Shokia,27.0,Defence,Al-Faisaly FC,Saudi Arabia,out,Summer,2002,112
Al-Ettifaq FC,Saudi Arabia,Saleh Bashir,20.0,Centre-Forward,Al-Ettifaq Youth,Saudi Arabia,in,Summer,2002,113
Al-Ettifaq FC,Saudi Arabia,Samir Kamouna,30.0,Sweeper,El Ahly,Egypt,out,Summer,2002,114
Al-Riyadh SC,Saudi Arabia,Schwenck,23.0,Centre-Forward,CFZ-DF,Egypt,in,Summer,2002,115
Al-Hilal SFC,Saudi Arabia,Abdulaziz Al-Khathran,29.0,Defensive Midfield,Al-Shabab,Saudi Arabia,in,Winter,2002,116
Al-Hilal SFC,Saudi Arabia,Andrey Kanchelskis,34.0,Right Midfield,Southampton,England,in,Winter,2002,117
Al-Hilal SFC,Saudi Arabia,Leandro Avíla,31.0,Defensive Midfield,Internacional,Brazil,in,Winter,2002,118
Al-Hilal SFC,Saudi Arabia,Túlio,26.0,Defensive Midfield,Goiás,Brazil,out,Winter,2002,119
Ittihad Club,Saudi Arabia,Guilherme Alves,28.0,Centre-Forward,Corinthians,Brazil,in,Winter,2002,120
Ittihad Club,Saudi Arabia,Titi Camara,30.0,Centre-Forward,West Ham,England,in,Winter,2002,121
Ittihad Club,Saudi Arabia,Chikelue Iloenyosi,24.0,Defence,C. Rizespor,Spain,in,Winter,2002,122
Ittihad Club,Saudi Arabia,Tijani Babangida,29.0,Right Winger,Ajax,Netherlands,in,Winter,2002,123
Ittihad Club,Saudi Arabia,Dario Baccin,26.0,Right-Back,Taranto,Italy,out,Winter,2002,124
Al-Shabab FC,Saudi Arabia,Abdulaziz Al-Khathran,29.0,Defensive Midfield,Al-Hilal,Saudi Arabia,out,Winter,2002,125
Al-Shabab FC,Saudi Arabia,Mirdzhalol Kasymov,32.0,Attacking Midfield,Pakhtakor,Iraq,out,Winter,2002,126
Al-Ahli SFC,Saudi Arabia,Mamadou Diallo,31.0,Centre-Forward,IFK Göteborg,Sweden,out,Winter,2002,127
Al-Ahli SFC,Saudi Arabia,Mohammed Husain Bahzad,22.0,Centre-Back,Kazma SC,France,out,Winter,2002,128
Al-Qadsiah FC,Saudi Arabia,Alex Pinho,30.0,Defence,Sport Recife,Brazil,in,Winter,2002,129
Al-Nassr FC,Saudi Arabia,Carlos Tenorio,23.0,Centre-Forward,LDU Quito,Ecuador,in,Winter,2002,130
Al-Nassr FC,Saudi Arabia,Paulo Nunes,31.0,Second Striker,Mogi Mirim,Brazil,out,Winter,2002,131
Al-Nassr FC,Saudi Arabia,Julio César Baldivieso,31.0,Attacking Midfield,Aurora,Guatemala,out,Winter,2002,132
Al-Riyadh SC,Saudi Arabia,Schwenck,23.0,Centre-Forward,América-RJ,Brazil,out,Winter,2002,133
Al-Riyadh SC,Saudi Arabia,Oumar Traoré,27.0,Midfield,,,out,Winter,2002,134
Ittihad Club,Saudi Arabia,Mesfr Al Kahtani,19.0,Defence,,,in,Summer,2003,135
Ittihad Club,Saudi Arabia,Redha Tukar,27.0,Centre-Back,Al-Shabab,Saudi Arabia,in,Summer,2003,136
Ittihad Club,Saudi Arabia,Salah Iddine Khlifi,24.0,Midfield,Xamax,Switzerland,in,Summer,2003,137
Ittihad Club,Saudi Arabia,Tcheco,27.0,Central Midfield,Coritiba FC,Brazil,in,Summer,2003,138
Ittihad Club,Saudi Arabia,Abdullah Al-Waked,27.0,Central Midfield,Al-Shabab,Saudi Arabia,in,Summer,2003,139
Ittihad Club,Saudi Arabia,Dimba,29.0,Centre-Forward,Goiás,Brazil,in,Summer,2003,140
Ittihad Club,Saudi Arabia,Chikelue Iloenyosi,24.0,Defence,Asteras Tripoli,Greece,out,Summer,2003,141
Ittihad Club,Saudi Arabia,Guilherme Alves,29.0,Centre-Forward,Cruzeiro,Brazil,out,Summer,2003,142
Ittihad Club,Saudi Arabia,Mohammed Al-Khilaiwi,31.0,Centre-Back,Al-Ahli SFC,Saudi Arabia,out,Summer,2003,143
Ittihad Club,Saudi Arabia,Titi Camara,30.0,Centre-Forward,West Ham,England,out,Summer,2003,144
Al-Ettifaq FC,Saudi Arabia,José Soares,27.0,Centre-Back,Schweinfurt 05,Germany,in,Summer,2003,145
Al-Ettifaq FC,Saudi Arabia,Arílson,30.0,Attacking Midfield,Avaí FC,Brazil,in,Summer,2003,146
Al-Ettifaq FC,Saudi Arabia,Ali Al-Fuheid,0.0,Midfield,,,out,Summer,2003,147
Al-Ahli SFC,Saudi Arabia,Kim,23.0,Centre-Forward,Atlético-MG,Peru,in,Summer,2003,148
Al-Ahli SFC,Saudi Arabia,Mohammed Al-Khilaiwi,31.0,Centre-Back,Ittihad Club,Saudi Arabia,in,Summer,2003,149
Al-Ahli SFC,Saudi Arabia,Bouchaib El Moubarki,25.0,Right Winger,Al-Sadd SC,Qatar,in,Summer,2003,150
Al-Ahli SFC,Saudi Arabia,Taiseer Al-Jassam,18.0,Central Midfield,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2003,151
Al-Ahli SFC,Saudi Arabia,Safwan Al-Muwallid,19.0,Second Striker,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2003,152
Al-Ahli SFC,Saudi Arabia,Mohamed Barakat,26.0,Right Winger,Al-Arabi SC,Qatar,out,Summer,2003,153
Al-Ahli SFC,Saudi Arabia,Saad Al-Dosari,25.0,Attacking Midfield,Al-Hilal,Saudi Arabia,out,Summer,2003,154
Al-Ahli SFC,Saudi Arabia,Bouchaib El Moubarki,25.0,Right Winger,Al-Rayyan SC,Qatar,out,Summer,2003,155
Al-Ahli SFC,Saudi Arabia,Khaled Badra,30.0,Centre-Back,ES Tunis,Tunisia,out,Summer,2003,156
Al-Ahli SFC,Saudi Arabia,Abdullah Al-Waked,27.0,Central Midfield,Al-Shabab,Saudi Arabia,out,Summer,2003,157
Al-Nassr FC,Saudi Arabia,Marcelinho Carioca,32.0,Attacking Midfield,Vasco da Gama,Brazil,in,Summer,2003,158
Al-Nassr FC,Saudi Arabia,Nashat Akram,18.0,Attacking Midfield,Al-Shorta SC,Iraq,in,Summer,2003,159
Al-Nassr FC,Saudi Arabia,Otilino Tenorio,23.0,Attack,CS Emelec,Ecuador,in,Summer,2003,160
Al-Nassr FC,Saudi Arabia,Saad Al-Harthi,19.0,Centre-Forward,Al-Nassr FC U23,Saudi Arabia,in,Summer,2003,161
Al-Nassr FC,Saudi Arabia,Carlos Tenorio,24.0,Centre-Forward,LDU Quito,Ecuador,out,Summer,2003,162
Al-Hilal SFC,Saudi Arabia,Jatto Ceesay,28.0,Right Winger,Willem II,Netherlands,in,Summer,2003,163
Al-Hilal SFC,Saudi Arabia,Abdullah Al-Shehan,26.0,Attack,Al-Shabab,Saudi Arabia,in,Summer,2003,164
Al-Hilal SFC,Saudi Arabia,Mauricio Aros,27.0,Left-Back,Feyenoord,Netherlands,in,Summer,2003,165
Al-Hilal SFC,Saudi Arabia,Saad Al-Dosari,25.0,Attacking Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2003,166
Al-Wehda FC,Saudi Arabia,Sulaiman Amedu,20.0,Centre-Back,Al-Wehda FC U23,Saudi Arabia,in,Summer,2003,167
Al-Wehda FC,Saudi Arabia,Nasser Al-Shamrani,19.0,Centre-Forward,Al-Wehda FC U23,Saudi Arabia,in,Summer,2003,168
Al-Wehda FC,Saudi Arabia,Essa Al-Mehyani,20.0,Centre-Forward,Al-Wehda FC U23,Saudi Arabia,in,Summer,2003,169
Al-Qadsiah FC,Saudi Arabia,Ahmed Khalil Al-Khaldi,32.0,Goalkeeper,Al-Sailiya SC,Qatar,out,Summer,2003,170
Al-Shoalah FC,Saudi Arabia,Yves Kibuey,33.0,Centre-Forward,Leiria,Portugal,in,Summer,2003,171
Khaleej FC,Saudi Arabia,Razzaq Farhan,26.0,Attack,Al-Dhaid,United Arab Emirates,out,Summer,2003,172
Al-Shabab FC,Saudi Arabia,Naji Majrashi,19.0,Centre-Forward,,,in,Summer,2003,173
Al-Shabab FC,Saudi Arabia,Fernandes,26.0,Attacking Midfield,Figueirense FC,Brazil,in,Summer,2003,174
Al-Shabab FC,Saudi Arabia,Abdullatif Al-Ghannam,17.0,Defensive Midfield,Al-Shabab U23,Saudi Arabia,in,Summer,2003,175
Al-Shabab FC,Saudi Arabia,Fisal Al-Sultan,24.0,Attack,Al-Shabab U23,Saudi Arabia,in,Summer,2003,176
Al-Shabab FC,Saudi Arabia,Abdullah Al-Waked,27.0,Central Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2003,177
Al-Shabab FC,Saudi Arabia,Redha Tukar,27.0,Centre-Back,Ittihad Club,Saudi Arabia,out,Summer,2003,178
Al-Shabab FC,Saudi Arabia,Abdullah Al-Shehan,26.0,Attack,Al-Hilal,Saudi Arabia,out,Summer,2003,179
Al-Shabab FC,Saudi Arabia,Abdullah Al-Waked,27.0,Central Midfield,Ittihad Club,Saudi Arabia,out,Summer,2003,180
Ittihad Club,Saudi Arabia,Alain Masudi,25.0,Attacking Midfield,Sturm Graz,Austria,in,Winter,2003,181
Ittihad Club,Saudi Arabia,Saud Kariri,23.0,Defensive Midfield,Al-Qadsiah FC,Saudi Arabia,in,Winter,2003,182
Al-Ettifaq FC,Saudi Arabia,Awule Quaye,23.0,Attacking Midfield,CS Sfaxien,Tunisia,in,Winter,2003,183
Al-Ettifaq FC,Saudi Arabia,Arílson,30.0,Attacking Midfield,Indep. Santa Fe,Colombia,out,Winter,2003,184
Al-Ahli SFC,Saudi Arabia,Paulinho,21.0,Second Striker,Atlético-MG,Peru,in,Winter,2003,185
Al-Ahli SFC,Saudi Arabia,Edmílson,29.0,Attack,Figueirense FC,Brazil,in,Winter,2003,186
Al-Nassr FC,Saudi Arabia,Marcelinho Carioca,32.0,Attacking Midfield,Vasco da Gama,Brazil,out,Winter,2003,187
Al-Nassr FC,Saudi Arabia,Otilino Tenorio,24.0,Attack,CD El Nacional,Ecuador,out,Winter,2003,188
Al-Hilal SFC,Saudi Arabia,Seyfo Soley,23.0,Defensive Midfield,KRC Genk,Belgium,in,Winter,2003,189
Al-Hilal SFC,Saudi Arabia,Somália,26.0,Centre-Forward,São Caetano,San Marino,in,Winter,2003,190
Al-Hilal SFC,Saudi Arabia,Franck Atsou,25.0,Centre-Back,Heusden-Zolder,Belgium,out,Winter,2003,191
Al-Hilal SFC,Saudi Arabia,Mauricio Aros,27.0,Left-Back,Huachipato,Chile,out,Winter,2003,192
Al-Hilal SFC,Saudi Arabia,Yousuf Al-Thunayan,39.0,Attacking Midfield,Retired,Retired,out,Winter,2003,193
Al-Qadsiah FC,Saudi Arabia,Jack Jones,26.0,Attack,Moto Club,Saudi Arabia,in,Winter,2003,194
Al-Qadsiah FC,Saudi Arabia,Saud Kariri,23.0,Defensive Midfield,Ittihad Club,Saudi Arabia,out,Winter,2003,195
Al-Qadsiah FC,Saudi Arabia,Alex Pinho,31.0,Defence,Paysandu,Brazil,out,Winter,2003,196
Khaleej FC,Saudi Arabia,Rachid Benmahmoud,32.0,Midfield,Al-Arabi SC,Qatar,in,Winter,2003,197
Al-Shabab FC,Saudi Arabia,Roberto Holsen,27.0,Centre-Forward,César Vallejo,Peru,in,Winter,2003,198
Al-Shabab FC,Saudi Arabia,Rasheed Yekini,40.0,Centre-Forward,Julius Berger,Nigeria,in,Winter,2003,199
Al-Hilal SFC,Saudi Arabia,Marcelo Tavares,24.0,Centre-Back,Cruzeiro,Brazil,in,Summer,2004,200
Al-Hilal SFC,Saudi Arabia,Camacho,24.0,Attacking Midfield,Botafogo,Brazil,in,Summer,2004,201
Al-Hilal SFC,Saudi Arabia,Paulo Silva,29.0,Attack,Petro Luanda,Angola,in,Summer,2004,202
Al-Hilal SFC,Saudi Arabia,Abdallah Medwah,25.0,Left-Back,Abha,Saudi Arabia,in,Summer,2004,203
Al-Hilal SFC,Saudi Arabia,Ahmed Al-Suwailh,18.0,Centre-Forward,Al-Hilal U23,Saudi Arabia,in,Summer,2004,204
Al-Hilal SFC,Saudi Arabia,Saad Al-Theyab,18.0,Left-Back,Al-Hilal U23,Saudi Arabia,in,Summer,2004,205
Al-Hilal SFC,Saudi Arabia,Franck Atsou,25.0,Centre-Back,Heusden-Zolder,Belgium,in,Summer,2004,206
Al-Hilal SFC,Saudi Arabia,Faisal Al-Saleh,0.0,Right Midfield,,,out,Summer,2004,207
Al-Hilal SFC,Saudi Arabia,Abdullah Al-Sharida,35.0,Centre-Back,Retired,Retired,out,Summer,2004,208
Al-Hilal SFC,Saudi Arabia,Somália,27.0,Centre-Forward,São Caetano,San Marino,out,Summer,2004,209
Al-Hilal SFC,Saudi Arabia,Seyfo Soley,24.0,Defensive Midfield,KRC Genk,Belgium,out,Summer,2004,210
Ittihad Club,Saudi Arabia,Mario Carevic,22.0,Left Midfield,Hajduk Split,Croatia,in,Summer,2004,211
Ittihad Club,Saudi Arabia,Dejan Petkovic,31.0,Attacking Midfield,Vasco da Gama,Brazil,in,Summer,2004,212
Ittihad Club,Saudi Arabia,Sergio Herrera,23.0,Centre-Forward,CD América,Colombia,in,Summer,2004,213
Ittihad Club,Saudi Arabia,Khaled Omar Gahwji,28.0,Attacking Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2004,214
Ittihad Club,Saudi Arabia,Obina,21.0,Centre-Forward,EC Vitória,Slovakia,in,Summer,2004,215
